Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"2,3,5-Trimethyltetrahydrofuran",CC1CC(C)C(C)O1,2060048-64-6,not biofuel,114.188,114.1044651,1.8198,0,1,0,9.23,33.79
2-Propyltetrahydrofuran,CCCC1CCCO1,3208-22-8,not biofuel,114.188,114.1044651,1.9655,0,1,2,9.23,33.882
2-Propyloxane,CCCC1CCCCO1,3857-17-8,not biofuel,128.215,128.1201151,2.3556,0,1,2,9.23,38.499
"2,3,4,5-Tetramethyltetrahydrofuran",CC1OC(C)C(C)C1C,,not biofuel,128.215,128.1201151,2.0658,0,1,0,9.23,38.337
2-Isobutyltetrahydrofuran,CC(C)CC1CCCO1,651057-21-5,not biofuel,128.215,128.1201151,2.2115,0,1,2,9.23,38.429
"2,5-Dimethoxytetrahydrofuran",COC1CCC(OC)O1,696-59-3,not biofuel,132.159,132.0786442,0.7418,0,3,2,27.69,31.913
"2,5-Dimethoxy-2,5-dihydrofuran",COC1OC(OC)C=C1,332-77-4,not biofuel,130.143,130.0629942,0.5178,0,3,2,27.69,31.819
"2,3-Dimethyltetrahydrofuran",CC1CCOC1C,16251-73-3,not biofuel,100.161,100.088815,1.4313,0,1,0,9.23,29.195
"2,5-Dimethyltetrahydrofuran",CC1CCC(C)O1,1003-38-9,not biofuel,100.161,100.088815,1.5738,0,1,0,9.23,29.243
"2,4-Dimethyltetrahydrofuran",CC1COC(C)C1,64265-26-5,not biofuel,100.161,100.088815,1.4313,0,1,0,9.23,29.195
2-Ethyltetrahydrofuran,CCC1CCCO1,1003-30-1,not biofuel,100.161,100.088815,1.5754,0,1,1,9.23,29.265
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel,114.188,114.1044651,1.9655,0,1,1,9.23,33.882
2-Methoxy-2-methylpropane,COC(C)(C)C,1634-04-4,not biofuel,88.15,88.088815,1.4313,0,1,0,9.23,26.762
tert-Amyl methylether,CCC(C)(C)OC,994-05-8,not biofuel,102.177,102.1044651,1.8214,0,1,2,9.23,31.379
2-Propoxypropane,CCCOC(C)C,627-08-7,not biofuel,102.177,102.1044651,1.8214,0,1,3,9.23,31.379
2-Isopropoxypropane,CC(C)OC(C)C,108-20-3,not biofuel,102.177,102.1044651,1.8198,0,1,2,9.23,31.357
tert-Amyl ethylether,CCOC(C)(C)CC,919-94-8,not biofuel,116.204,116.1201151,2.2115,0,1,3,9.23,35.996
"1,1-Dimethylethyl 2-methylpropanoate",CC(C)C(=O)OC(C)(C)C,16889-72-8,not biofuel,144.214,144.1150298,1.9841,0,2,1,26.3,40.683
"2,2-Dimethylpropyl propanoate",CCC(=O)OCC(C)(C)C,3581-69-9,not biofuel,144.214,144.1150298,1.9857,0,2,2,26.3,40.705
"1,3-Dimethylbutyl acetate",CC(C)CC(C)OC(C)=O,108-84-9,not biofuel,144.214,144.1150298,1.9841,0,2,3,26.3,40.683
"2,3-Dimethylbutyl acetate",CC(C)C(C)COC(C)=O,71412-26-5,not biofuel,144.214,144.1150298,1.8416,0,2,3,26.3,40.635
"1,1,2-Trimethylpropyl acetate",CC(C)C(C)(C)OC(C)=O,4806-33-1,not biofuel,144.214,144.1150298,1.9841,0,2,2,26.3,40.683
"1,2,2-Trimethylpropyl acetate",CC(OC(C)=O)C(C)(C)C,616-51-3,not biofuel,144.214,144.1150298,1.9841,0,2,1,26.3,40.683
2-Methylpentyl formate,CCCC(C)COC=O,381670-34-4,not biofuel,130.187,130.0993797,1.5956,0,2,5,26.3,36.088
"Methyl 2,2-dimethylpentanoate",CCCC(C)(C)C(=O)OC,813-68-3,not biofuel,144.214,144.1150298,1.9857,0,2,3,26.3,40.705
"Methyl 3,3-dimethylpentanoate",CCC(C)(C)CC(=O)OC,101186-01-0,not biofuel,144.214,144.1150298,1.9857,0,2,3,26.3,40.705
"Ethyl 2,2-dimethylbutanoate",CCOC(=O)C(C)(C)CC,5129-40-8,not biofuel,144.214,144.1150298,1.9857,0,2,3,26.3,40.705
"Ethyl 3,3-dimethylbutanoate",CCOC(=O)CC(C)(C)C,5340-78-3,not biofuel,144.214,144.1150298,1.9857,0,2,2,26.3,40.705
