Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
2-Methoxy-2-methylpropane,COC(C)(C)C,1634-04-4,not biofuel,88.14999999999999,88.088815004,1.4313,0.0,1.0,0.0,9.23,26.761999999999986
tert-Amyl methylether,CCC(C)(C)OC,994-05-8,not biofuel,102.17699999999998,102.104465068,1.8214000000000001,0.0,1.0,2.0,9.23,31.37899999999998
2-Propoxypropane,CCCOC(C)C,627-08-7,not biofuel,102.17699999999998,102.104465068,1.8214000000000001,0.0,1.0,3.0,9.23,31.378999999999984
2-Isopropoxypropane,CC(C)OC(C)C,108-20-3,not biofuel,102.17699999999999,102.104465068,1.8197999999999999,0.0,1.0,2.0,9.23,31.356999999999978
tert-Amyl ethylether,CCOC(C)(C)CC,919-94-8,not biofuel,116.204,116.120115132,2.2115,0.0,1.0,3.0,9.23,35.99599999999999
"1,1-Dimethylethyl 2-methylpropanoate",CC(C)C(=O)OC(C)(C)C,16889-72-8,not biofuel,144.21399999999997,144.115029752,1.9841,0.0,2.0,1.0,26.3,40.68300000000001
"2,2-Dimethylpropyl propanoate",CCC(=O)OCC(C)(C)C,3581-69-9,not biofuel,144.21399999999997,144.115029752,1.9857,0.0,2.0,2.0,26.3,40.705000000000005
"1,3-Dimethylbutyl acetate",CC(C)CC(C)OC(C)=O,108-84-9,not biofuel,144.21399999999997,144.115029752,1.9841,0.0,2.0,3.0,26.3,40.68300000000001
"2,3-Dimethylbutyl acetate",CC(C)C(C)COC(C)=O,71412-26-5,not biofuel,144.21399999999997,144.115029752,1.8416000000000001,0.0,2.0,3.0,26.3,40.635000000000005
"1,1,2-Trimethylpropyl acetate",CC(C)C(C)(C)OC(C)=O,4806-33-1,not biofuel,144.21399999999997,144.115029752,1.9841,0.0,2.0,2.0,26.3,40.68300000000001
"1,2,2-Trimethylpropyl acetate",CC(OC(C)=O)C(C)(C)C,616-51-3,not biofuel,144.21399999999997,144.115029752,1.9841,0.0,2.0,1.0,26.3,40.68300000000001
2-Methylpentyl formate,CCCC(C)COC=O,381670-34-4,not biofuel,130.18699999999998,130.099379688,1.5956,0.0,2.0,5.0,26.3,36.087999999999994
"Methyl 2,2-dimethylpentanoate",CCCC(C)(C)C(=O)OC,813-68-3,not biofuel,144.21399999999997,144.115029752,1.9857,0.0,2.0,3.0,26.3,40.705000000000005
"Methyl 3,3-dimethylpentanoate",CCC(C)(C)CC(=O)OC,101186-01-0,not biofuel,144.21399999999997,144.115029752,1.9857,0.0,2.0,3.0,26.3,40.705000000000005
