Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
1-Phenylethanol,CC(O)c1ccccc1,biofuel,CC(O)c1ccccc1,122.16699999999996,122.07316494,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996
2-Phenylethanol ,OCCc1ccccc1,biofuel,OCCc1ccccc1,122.16699999999996,122.07316494,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996
"2,4-Xylenol",Cc1ccc(O)c(C)c1,biofuel,Cc1ccc(O)c(C)c1,122.16699999999999,122.07316494,122.16699999999999,122.16699999999999,122.16699999999999,122.16699999999999,122.16699999999999,122.16699999999999,122.16699999999999
Cinnamaldehyde,O=CC=Cc1ccccc1,biofuel,O=CC=Cc1ccccc1,132.16199999999998,132.057514876,132.16199999999998,132.16199999999998,132.16199999999998,132.16199999999998,132.16199999999998,132.16199999999998,132.16199999999998
4-Propylanisole,CCCc1ccc(OC)cc1,biofuel,CCCc1ccc(OC)cc1,150.22099999999998,150.104465068,150.22099999999998,150.22099999999998,150.22099999999998,150.22099999999998,150.22099999999998,150.22099999999998,150.22099999999998
Guaiacol,COc1ccccc1O,biofuel,COc1ccccc1O,124.13899999999997,124.052429496,124.13899999999997,124.13899999999997,124.13899999999997,124.13899999999997,124.13899999999997,124.13899999999997,124.13899999999997
4-Methylguaiacol,COc1cc(C)ccc1O,biofuel,COc1cc(C)ccc1O,138.166,138.06807956,138.166,138.166,138.166,138.166,138.166,138.166,138.166
4-Ethylguaiacol,CCc1ccc(O)c(OC)c1,biofuel,CCc1ccc(O)c(OC)c1,152.19299999999998,152.083729624,152.19299999999998,152.19299999999998,152.19299999999998,152.19299999999998,152.19299999999998,152.19299999999998,152.19299999999998
Methylamine,CN,biofuel,CN,31.058,31.042199159999996,31.058,31.058,31.058,31.058,31.058,31.058,31.058
Ethylamine,CCN,biofuel,CCN,45.084999999999994,45.057849223999995,45.084999999999994,45.084999999999994,45.084999999999994,45.084999999999994,45.084999999999994,45.084999999999994,45.084999999999994
3-Methyltetrahydrofuran,CC1CCOC1,not biofuel,CC1CCOC1,86.134,86.07316494,86.134,86.134,86.134,86.134,86.134,86.134,86.134
"5-Methyl-2,3-dihydrofuran",CC1=CCCO1,not biofuel,CC1=CCCO1,84.11800000000001,84.057514876,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001,84.11800000000001
2-Methyloxane,CC1CCCCO1,not biofuel,CC1CCCCO1,100.161,100.088815004,100.161,100.161,100.161,100.161,100.161,100.161,100.161
2-Ethyloxane,CCC1CCCCO1,not biofuel,CCC1CCCCO1,114.188,114.104465068,114.188,114.188,114.188,114.188,114.188,114.188,114.188
