Name,SMILES,CAS,Type
"4,5-Dimethyl-2-hexene",CC=CC(C)C(C)C,73548-71-7,not biofuel
"2,4-Dimethyl-1-hexene",CCC(C)CC(C)=C,16746-87-5,not biofuel
"2,5-Dimethyl-1-hexene",CC(C)CCC(C)=C,6975-92-4,not biofuel
"3,4-Dimethyl-1-hexene",CCC(C)C(C)C=C,16745-94-1,not biofuel
"3,5-Dimethyl-1-hexene",CC(C)CC(C)C=C,7423-69-0,not biofuel
"4,5-Dimethyl-1-hexene",CC(C)C(C)CC=C,16106-59-5,not biofuel
"3,3-Dimethyl-1-hexene",CCCC(C)(C)C=C,3404-77-1,not biofuel
"4,4-Dimethyl-1-hexene",CCC(C)(C)CC=C,1647-08-1,not biofuel
"5,5-Dimethyl-1-hexene",CC(C)(C)CCC=C,7116-86-1,not biofuel
"2,3-Dimethyl-2-hexene",CCCC(C)=C(C)C,7145-20-2,not biofuel
2-methyl-2-heptene,CCCCC=C(C)C,627-97-4,not biofuel
3-methyl-2-heptene,CCCCC(C)=CC,3404-75-9,not biofuel
4-methyl-2-heptene,CCCC(C)C=CC,3404-56-6,not biofuel
5-methyl-2-heptene,CCC(C)CC=CC,22487-87-2,not biofuel
6-methyl-2-heptene,CC=CCCC(C)C,73548-72-8,not biofuel
2-methyl-3-heptene,CCCC=CC(C)C,17618-76-7,not biofuel
3-methyl-3-heptene,CCCC=C(C)CC,7300-03-0,not biofuel
4-methyl-3-heptene,CCCC(C)=CCC,4485-16-9,not biofuel
5-methyl-3-heptene,CCC=CC(C)CC,13172-91-3,not biofuel
"2,3-Dimethyl-1-hexene",CCCC(C)C(C)=C,16746-86-4,not biofuel
Ethylcyclopentane,CCC1CCCC1,1640-89-7,not biofuel
"1,1-Dimethylcyclopentane",CC1(C)CCCC1,1638-26-2,not biofuel
"1,2-Dimethylcyclopentane",CC1CCCC1C,2452-99-5,not biofuel
"cis-1,3-Dimethylcyclopentane",CC1CCC(C1)C,2532-58-3,not biofuel
Isopropylcyclopentane,CC(C)C1CCCC1,3875-51-2,not biofuel
1-Ethyl-3-methylcyclopentane,CCC1CCC(C)C1,3726-47-4,not biofuel
"1,2-Dimethylcyclohexane",CC1CCCCC1C,583-57-3,not biofuel
"1,3-Dimethylcyclohexane",CC1CCCC(C)C1,591-21-9,not biofuel
"1,4-Dimethylcyclohexane",CC1CCC(C)CC1,589-90-2,not biofuel
"1,1,2-Trimethylcyclohexane",CC1CCCCC1(C)C,7094-26-0,not biofuel
"1,1,3-Trimethylcyclohexane",CC1CCCC(C)(C)C1,3073-66-3,not biofuel
"1,2,3-Trimethylcyclohexane",CC1CCCC(C)C1C,1678-97-3,not biofuel
"1,2,4-Trimethylcyclohexane",CC1CCC(C)C(C)C1,2234-75-5,not biofuel
"1,3,5-Trimethylcyclohexane",CC1CC(C)CC(C)C1,1839-63-0,not biofuel
"1,1-Dimethylcycloheptane",CC1(C)CCCCCC1,13151-49-0,not biofuel
Ethylcycloheptane,CCC1CCCCCC1,13151-55-8,not biofuel
3-Ethylpentane,CCC(CC)CC,617-78-7,not biofuel
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,464-06-2,not biofuel
2-Methylheptane,CCCCCC(C)C,592-27-8,not biofuel
"2,3-Dimethylhexane",CCCC(C)C(C)C,584-94-1,not biofuel
